id,category,question,answer,accept,distractors,explanation
C01,교회의 구조와 헌법,미국장로교회의 구조는?,"총회, 대회, 노회, 당회","총회 대회 노회 당회|당회, 노회, 대회, 총회|당회 노회 대회 총회","총회, 노회, 대회, 당회|총회, 연회, 지방회, 당회|총회, 대회, 시찰회, 제직회","공의회는 당회·노회·대회·총회이며, 상위 공의회가 하위 공의회를 다스린다."
C02,교회의 구조와 헌법,장로교회에서 가장 중요하게 여기고 사용되는 책 세 가지는?,"성경, 규례서, 신앙고백서","성경 규례서 신앙고백서|성경, 신앙고백서, 규례서","성경, 찬송가, 요리문답|성경, 헌법, 정관|규례서, 신앙고백서, 교회사",목사·장로·집사로 직무할 때 성경의 권위 아래서 신앙고백서에 의하여 지도를 받아 임무에 임하도록 서약한다.
C03,당회,당회 구성의 최소 요건은?,담임목사와 시무 장로 2인,담임목사와 시무장로 2인|목사 1인과 장로 2인|담임목사 시무장로 2명,담임목사와 시무 장로 1인|담임목사와 시무 장로 3인|시무 장로 2인,
C04,직제사역의 임기,시무 장로의 사역 기간은 (　　)년이며 공천위원회의 공천을 받아 공동의회 투표를 통해 (　　)년 연임할 수 있으며 이후에는 반드시 (　　)년 이상 휴무하여야 한다.,"3년, 1년 이상","3년 1년 이상|3년, 3년, 1년 이상|3년 3년 1년 이상|3 1","2년, 1년 이상|3년, 2년 이상|5년, 1년 이상","강의안 표기는 ""3년, 1년 이상""이다. 연속 시무는 6년(3년 + 3년 연임)을 넘을 수 없고, 6년을 마치면 최소 1년 이상 휴무해야 한다."
C05,직분과 제직선출,제직선출의 기준이 되는 성경구절은?,갈라디아서 3장 27절로 29절까지,갈라디아서 3:27-29|갈 3:27-29|갈라디아서 3장 27-29절|갈라디아서 3장,에베소서 4장 5절로 6절까지|고린도전서 12장 12절로 27절까지|사도행전 6장 1절로 7절까지,"""누구든지 그리스도와 합하기 위하여 세례를 받은 자는 그리스도로 옷 입었느니라 너희는 유대인이나 헬라인이나 종이나 자유인이나 남자나 여자나 다 그리스도 예수 안에서 하나이니라 너희가 그리스도의 것이면 곧 아브라함의 자손이요 약속대로 유업을 이을 자니라"""
C06,직분과 제직선출,미국장로교회의 두 가지 직분은?,(안수)집사와 장로,집사와 장로|안수집사와 장로|장로와 집사|장로와 안수집사,목사와 장로|목사와 집사|장로와 권사,
C07,직분과 제직선출,장로의 구분은 (　　)와 (　　) 두 가지 이다.,교역장로(목사)와 (통상 장로라 부르는) 사역장로,교역장로와 사역장로|교역장로(목사)와 사역장로|목사와 사역장로|사역장로와 교역장로,시무장로와 은퇴장로|협동장로와 시무장로|치리장로와 협동장로,
C08,직분과 제직선출,제직을 선출할 때에는 반드시 (　　)을 포함해야 한다.,다양성,다양성,연장자|시무 경력자|재정 후원자,갈라디아서 3장 27-29절에 근거한다.
C09,직분과 제직선출,제직선출은 공동의회에서 (　　)의 찬성투표로 결정된다.,과반수,과반수|과반수 이상,2/3 이상|3/4 이상|만장일치,
C10,공천위원회,공천위원회의 임원은 반드시 활동교인이어야 하며 그 중 한 명은 반드시 (　　)이어야 한다.,시무장로,시무장로|시무 장로,안수집사|담임목사|재단이사,
C11,공천위원회,담임목사는 공천위원회의 위원이 될 수 있지만 (　　)은 없다.,투표권,투표권|의결권,발언권|참석권|소집권,
C12,공천위원회,공천위원회의 위원은 교인들을 (　　)하는 사람(활동교인)들로 구성되어야 한다.,대표,대표|대표하는,감독|후원|심사,
C13,공천위원회,공천위원회의 위원은 (　　)에서 선출한다.,공동의회,공동의회,당회|제직회|노회,
C14,공천위원회,공천위원회는 최소한 활동교인 (　　)명 이상으로 구성되어야 한다.,3명,3|3명|3명 이상|세 명,2명|5명|7명,
C15,당회,당회는 반드시 공동의회에서 결정해야 하는 (　　)가지 교회사업을 제외하고 교인을 대표하여 모든 교회 사업의 결정을 한다.,5가지,5|5가지|다섯 가지,3가지|4가지|7가지,
C16,공동의회,공동의회에서만 결정할 수 있는 다섯 가지 교회 사업은?,① 장로·집사·재단이사·공천위원의 선출 ② 담임목사/동사목사/부목사의 청빙 ③ 목회관계를 변경(해소)하는 일 ④ 부동산의 구매·저당·매각하는 일 ⑤ 노회에 면제청원을 하는 일,선출|청빙|목회관계 변경|부동산|면제청원,① 장로·집사·재단이사·공천위원의 선출 ② 담임목사의 청빙 ③ 목회관계를 변경(해소)하는 일 ④ 예산과 결산의 승인 ⑤ 노회에 면제청원을 하는 일|① 장로·집사의 선출 ② 담임목사의 청빙 ③ 교회 직원의 채용 ④ 부동산의 구매·저당·매각하는 일 ⑤ 선교사의 파송|① 공천위원의 선출 ② 부목사의 청빙 ③ 당회록의 승인 ④ 부동산의 구매·저당·매각하는 일 ⑤ 노회 총대의 파송,이 다섯 가지를 제외한 모든 교회 사업은 당회가 교인을 대표하여 결정한다.
C17,공동의회,공동의회는 당회나 (　　)의 요청으로 소집된다.,노회,노회,대회|총회|제직회,
C18,공동의회,공동의회는 활동교인의 (　　) 이상의 서면 요청으로 소집된다.,1/4,1/4|사분의 일|4분의 1|1/4 이상,1/3|1/2|1/10,이 때에도 시간과 장소는 당회가 결정한다.
C19,공동의회,공동의회의 소집광고는 (　)주 이상 (　) 중에 광고하여야 한다.,"2주, 예배",2주 예배|2 예배|2주 이상 예배 중|2주간 예배 중,"1주, 예배|3주, 주보|2주, 당회",
C20,공동의회,임시공동의회는 필요에 따라 소집요건을 충족하여 소집하며 소집한 안건 (　　) 안건을 다루지 못한다.,이외 다른,이외 다른|이외의 다른|외의 다른|이외,이외 모든|과 관련된|보다 중요한,
C21,공동의회,공동의회 의장은 (　　)이 된다.,담임목사,담임목사|담임 목사,시무장로|노회장|공천위원장,
C22,공동의회,담임목사 이외에 (　　)의 허락을 받은 사람을 공동의회 의장으로 지명할 수 있다.,노회,노회,당회|대회|총회,
C23,당회,당회는 집사/장로로 피택된 피택자들을 (　　)할 책임이 있다.,교육,교육|교육할,심사|추천|파송,
C24,당회,당회는 집사/장로로 피택된 피택자들이 심사를 통과하면 안수식 날짜를 정하고 (　　)할 책임이 있다.,안수,안수|안수할,임명|추대|파송,
C25,직제사역의 임기,장로나 안수집사가 한 번에 연속으로 시무할 수 있는 최대기간은 (　　)년 이다.,6년,6|6년|육년,3년|9년|12년,
C26,직제사역의 임기,장로나 안수집사가 연속으로 6년 시무를 마치면 무조건 (　　)년 이상 휴무를 해야 한다.,1년,1|1년|1년 이상|일년,2년|3년|6개월,
C27,직제사역의 임기,장로나 안수집사가 시무하지 않고 휴무중에도 안수 사역의 책임은 (　　)된다.,계속,계속|계속된다|유지,정지|소멸|이관,
C28,교회의 구조와 헌법,담임목사의 회원권은 (　　)에 있다.,노회,노회,당회|개체교회|대회,
C29,공동의회,공동의회에 참석하고 투표를 할 수 있는 요건은 반드시 (　　)이어야 한다.,활동교인,활동교인|활동 교인,세례교인|출석교인|등록교인,
C30,당회,당회는 1년에 최소한 (　　)번 모여야 한다.,4번,4|4번|네 번|4회,1번|2번|12번,
