location,verse_krv,verse_niv
고린도전서 13:4,사랑은 오래 참고 사랑은 온유하며 시기하지 아니하며 사랑은 자랑하지 아니하며 교만하지 아니하며,"Love is patient, love is kind. It does not envy, it does not boast, it is not proud."
고린도전서 13:5,무례히 행하지 아니하며 자기의 유익을 구하지 아니하며 성내지 아니하며 악한 것을 생각하지 아니하며,"It does not dishonor others, it is not self-seeking, it is not easily angered, it keeps no record of wrongs."
고린도전서 13:13,그런즉 믿음 소망 사랑 이 세 가지는 항상 있을 것인데 그 중의 제일은 사랑이라,"And now these three remain: faith, hope and love. But the greatest of these is love."
빌립보서 4:13,내게 능력 주시는 자 안에서 내가 모든 것을 할 수 있느니라,I can do all this through him who gives me strength.
로마서 8:28,"우리가 알거니와 하나님을 사랑하는 자 곧 그의 뜻대로 부르심을 입은 자들에게는 모든 것이 합력하여 선을 이루느니라","And we know that in all things God works for the good of those who love him, who have been called according to his purpose."
잠언 3:5,"너는 마음을 다하여 여호와를 신뢰하고 네 명철을 의지하지 말라","Trust in the LORD with all your heart and lean not on your own understanding."
잠언 3:6,너는 범사에 그를 인정하라 그리하면 네 길을 지도하시리라,"in all your ways submit to him, and he will make your paths straight."
이사야 40:31,"오직 여호와를 앙망하는 자는 새 힘을 얻으리니 독수리가 날개치며 올라감 같을 것이요 달음박질하여도 곤비하지 아니하겠고 걸어가도 피곤하지 아니하리로다","but those who hope in the LORD will renew their strength. They will soar on wings like eagles; they will run and not grow weary, they will walk and not be faint."
여호수아 1:9,"내가 네게 명한 것이 아니냐 강하고 담대하라 두려워하지 말며 놀라지 말라 네가 어디로 가든지 네 하나님 여호와가 너와 함께 하느니라","Have I not commanded you? Be strong and courageous. Do not be afraid; do not be discouraged, for the LORD your God will be with you wherever you go."
시편 23:1,여호와는 나의 목자시니 내게 부족함이 없으리로다,"The LORD is my shepherd, I lack nothing."
